ctype1,status,label,text,text_cleaned,text_splited
BILLREMIND,SUCCESS,BILLREMIND,您尾号5276工银信用卡截至2017年06月11日账单信息如下：美元账户无欠款，人民币账户应还款金额为1064.69元，最低还款额106.47元，到期还款日为07月05日。人民币账户累计收入3500.00元，累计支出4151.30元美元账户累计收入0.00元，累计支出0.00元以下为账单明细（20170512-20170611）人民币账户：05月12日，支出3600.00元，华润万家（长春里分店）；05月14日，支出542.00元，百年六富世纪商行；06月05日，支出2.07元，卡清算中心；06月10日，收入3500.00元，上思县江滨路龙江半岛花园临街铺面；06月12日，支出7.23元，卡清算中心。工银信用卡【工商银行】,您尾号5276工银信用卡截至2017年06月11日账单信息如下 美元账户无欠款 人民币账户应还款金额为1064 69元 最低还款额106 47元 到期还款日为07月05日 人民币账户累计收入3500 00元 累计支出4151 30元美元账户累计收入0 00元 累计支出0 00元以下为账单明细 20170512 20170611 人民币账户 05月12日 支出3600 00元 华润万家 长春里分店 05月14日 支出542 00元 百年六富世纪商行 06月05日 支出2 07元 卡清算中心 06月10日 收入3500 00元 上思县江滨路龙江半岛花园临街铺面 06月12日 支出7 23元 卡清算中心 工银信用卡,您 尾号 5276 工银 信用卡 截至 2017 年 06 月 11 日 账单 信息 如下   美元 账户 无 欠款   人民币 账户 应 还款 金额 为 1064   69 元   最低 还款额 106   47 元   到期 还款 日为 07 月 05 日   人民币 账户 累计 收入 3500   00 元   累计 支出 4151   30 元 美元 账户 累计 收入 0   00 元   累计 支出 0   00 元 以下 为 账单 明细   20170512   20170611   人民币 账户   05 月 12 日   支出 3600   00 元   华润 万家   长春 里 分店   05 月 14 日   支出 542   00 元   百年 六富 世纪 商行   06 月 05 日   支出 2   07 元   卡 清算 中心   06 月 10 日   收入 3500   00 元   上思县 江滨 路 龙江 半岛 花园 临街 铺面   06 月 12 日   支出 7   23 元   卡 清算 中心   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,您尾号9946工银信用卡截至2016年11月11日账单信息如下：人民币应还款额9814.99元，最低还款额981.50元，到期还款日为12月05日，其他币种账户无欠款。人民币账户累计收入1700.00元，累计支出2145.72元英镑账户累计收入0.00元，累计支出0.00元港币账户累计收入0.00元，累计支出0.00元美元账户累计收入0.00元，累计支出0.00元瑞士法郎账户累计收入0.00元，累计支出0.00元新加坡元账户累计收入0.00元，累计支出0.00元日元账户累计收入0.00元，累计支出0.00元加元账户累计收入0.00元，累计支出0.00元澳元账户累计收入0.00元，累计支出0.00元欧元账户累计收入0.00元，累计支出0.00元新西兰元账户累计收入0.00元，累计支出0.00元以下为账单明细（20161012-20161111）人民币账户：11月03日，收入1700.00元，延西支行；11月10日，支出2000.00元，曼天雨女装服饰店；11月12日，支出145.72元，卡清算中心。工银信用卡【工商银行】,您尾号9946工银信用卡截至2016年11月11日账单信息如下 人民币应还款额9814 99元 最低还款额981 50元 到期还款日为12月05日 其他币种账户无欠款 人民币账户累计收入1700 00元 累计支出2145 72元英镑账户累计收入0 00元 累计支出0 00元港币账户累计收入0 00元 累计支出0 00元美元账户累计收入0 00元 累计支出0 00元瑞士法郎账户累计收入0 00元 累计支出0 00元新加坡元账户累计收入0 00元 累计支出0 00元日元账户累计收入0 00元 累计支出0 00元加元账户累计收入0 00元 累计支出0 00元澳元账户累计收入0 00元 累计支出0 00元欧元账户累计收入0 00元 累计支出0 00元新西兰元账户累计收入0 00元 累计支出0 00元以下为账单明细 20161012 20161111 人民币账户 11月03日 收入1700 00元 延西支行 11月10日 支出2000 00元 曼天雨女装服饰店 11月12日 支出145 72元 卡清算中心 工银信用卡,您 尾号 9946 工银 信用卡 截至 2016 年 11 月 11 日 账单 信息 如下   人民币 应 还款额 9814   99 元   最低 还款额 981   50 元   到期 还款 日为 12 月 05 日   其他 币种 账户 无 欠款   人民币 账户 累计 收入 1700   00 元   累计 支出 2145   72 元 英镑 账户 累计 收入 0   00 元   累计 支出 0   00 元 港币 账户 累计 收入 0   00 元   累计 支出 0   00 元 美元 账户 累计 收入 0   00 元   累计 支出 0   00 元 瑞士法郎 账户 累计 收入 0   00 元   累计 支出 0   00 元 新加坡元 账户 累计 收入 0   00 元   累计 支出 0   00 元 日元 账户 累计 收入 0   00 元   累计 支出 0   00 元 加元 账户 累计 收入 0   00 元   累计 支出 0   00 元 澳元 账户 累计 收入 0   00 元   累计 支出 0   00 元 欧元 账户 累计 收入 0   00 元   累计 支出 0   00 元 新西兰元 账户 累计 收入 0   00 元   累计 支出 0   00 元 以下 为 账单 明细   20161012   20161111   人民币 账户   11 月 03 日   收入 1700   00 元   延西 支行   11 月 10 日   支出 2000   00 元   曼天雨 女装 服饰店   11 月 12 日   支出 145   72 元   卡 清算 中心   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,您尾号为4723的工银信用卡截至2016年10月11日账单信息如下：人民币应还款金额为280.00元，最低还款额28.00元，到期还款日为11月05日。人民币账户累计收入255.30元，累计支出280.00元。6666666666以下为账单明细（20160912-20161011）人民币账户：09月13日，收入255.30元，延西支行；10月08日，支出280.00元，莆田市荔城区蒲阳超市。工银信用卡【工商银行】,您尾号为4723的工银信用卡截至2016年10月11日账单信息如下 人民币应还款金额为280 00元 最低还款额28 00元 到期还款日为11月05日 人民币账户累计收入255 30元 累计支出280 00元 6666666666以下为账单明细 20160912 20161011 人民币账户 09月13日 收入255 30元 延西支行 10月08日 支出280 00元 莆田市荔城区蒲阳超市 工银信用卡,您 尾号 为 4723 的 工银 信用卡 截至 2016 年 10 月 11 日 账单 信息 如下   人民币 应 还款 金额 为 280   00 元   最低 还款额 28   00 元   到期 还款 日为 11 月 05 日   人民币 账户 累计 收入 255   30 元   累计 支出 280   00 元   6666666666 以下 为 账单 明细   20160912   20161011   人民币 账户   09 月 13 日   收入 255   30 元   延西 支行   10 月 08 日   支出 280   00 元   莆田市 荔城区 蒲阳 超市   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,【短信账单】您尾号0264卡本期账单（7月12日—8月11日）：人民币透支金额3247.68元，转发此短信至95588即可查询交易明细。工银信用卡【工商银行】,您尾号0264卡本期账单 7月12日 8月11日 人民币透支金额3247 68元 转发此短信至95588即可查询交易明细 工银信用卡,您 尾号 0264 卡 本期 账单   7 月 12 日   8 月 11 日   人民币 透支 金额 3247   68 元   转发 此 短信 至 95588 即可 查询 交易 明细   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,【短信账单】您尾号0890卡本期账单（3月1日—3月31日）：人民币账户透支2066.75元，请及时还款。转发此短信至95588即可查询交易明细。工银信用卡【工商银行】,您尾号0890卡本期账单 3月1日 3月31日 人民币账户透支2066 75元 请及时还款 转发此短信至95588即可查询交易明细 工银信用卡,您 尾号 0890 卡 本期 账单   3 月 1 日   3 月 31 日   人民币 账户 透支 2066   75 元   请 及时 还款   转发 此 短信 至 95588 即可 查询 交易 明细   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,【短信账单】您尾号0411卡本期账单（7月17日—8月16日）：人民币账户应还款额27734.51元，美元账户应还款额458.94元，到期还款日为9月10日。其他币种账户余额均为0。转发此短信至95588即可查询交易明细。工银信用卡【工商银行】,您尾号0411卡本期账单 7月17日 8月16日 人民币账户应还款额27734 51元 美元账户应还款额458 94元 到期还款日为9月10日 其他币种账户余额均为0 转发此短信至95588即可查询交易明细 工银信用卡,您 尾号 0411 卡 本期 账单   7 月 17 日   8 月 16 日   人民币 账户 应 还款额 27734   51 元   美元 账户 应 还款额 458   94 元   到期 还款 日为 9 月 10 日   其他 币种 账户 余额 均 为 0   转发 此 短信 至 95588 即可 查询 交易 明细   工银 信用卡
PAYOUT,SUCCESS,PAYOUT,您尾号9410的工银信用卡已经启用，该卡信用额度为人民币5000元，请妥善保管您的密码和个人信息。信用卡收费标准可登陆工行官网（www.icbc.com.cn）进行查询。您可通过我行手机银行、融e联App或网上银行查询办理更多业务！工银信用卡【工商银行】,您尾号9410的工银信用卡已经启用 该卡信用额度为人民币5000元 请妥善保管您的密码和个人信息 信用卡收费标准可登陆工行官网 www icbc com cn 进行查询 您可通过我行手机银行 融e联App或网上银行查询办理更多业务 工银信用卡,您 尾号 9410 的 工银 信用卡 已经 启用   该卡 信用 额度 为 人民币 5000 元   请 妥善 保管 您 的 密码 和 个人信息   信用卡 收费 标准 可 登陆 工行 官网   www   icbc   com   cn   进行 查询   您 可 通过 我行 手机 银行   融 e 联 App 或 网上银行 查询 办理 更 多 业务   工银 信用卡
BILLREMIND,SUCCESS,BILLREMIND,【短信账单】您尾号1355卡本期账单（7月12日—8月11日）：美元账户应还款额132.19元，到期还款日为9月5日。转发此短信至95588即可查询交易明细。工银信用卡【工商银行】,您尾号1355卡本期账单 7月12日 8月11日 美元账户应还款额132 19元 到期还款日为9月5日 转发此短信至95588即可查询交易明细 工银信用卡,您 尾号 1355 卡 本期 账单   7 月 12 日   8 月 11 日   美元 账户 应 还款额 132   19 元   到期 还款 日为 9 月 5 日   转发 此 短信 至 95588 即可 查询 交易 明细   工银 信用卡
PAYOUT,SUCCESS,PAYOUT,您尾号0594的工银信用卡已经启用，该卡账单日为1日，到期还款日为25日，信用额度为人民币30000元（等值外币），请妥善保管您的密码和个人信息。信用卡收费标准可登陆工行官网（www.icbc.com.cn）进行查询。您可通过我行手机银行、融e联App或网上银行查询办理更多业务！工银信用卡【工商银行】,您尾号0594的工银信用卡已经启用 该卡账单日为1日 到期还款日为25日 信用额度为人民币30000元 等值外币 请妥善保管您的密码和个人信息 信用卡收费标准可登陆工行官网 www icbc com cn 进行查询 您可通过我行手机银行 融e联App或网上银行查询办理更多业务 工银信用卡,您 尾号 0594 的 工银 信用卡 已经 启用   该卡 账单 日为 1 日   到期 还款 日为 25 日   信用 额度 为 人民币 30000 元   等值 外币   请 妥善 保管 您 的 密码 和 个人信息   信用卡 收费 标准 可 登陆 工行 官网   www   icbc   com   cn   进行 查询   您 可 通过 我行 手机 银行   融 e 联 App 或 网上银行 查询 办理 更 多 业务   工银 信用卡
LOAN,SUCCESS,LOAN,您申请编号为C0020020171740000223的融e借已发放到尾号7826卡中，放款金额为300000.00元。利息还款日为每月23日，如当月无该日期则以当月最后一日为还款日，本金还款日期为2018年6月23日，还款卡尾号为7826。您可通过我行网上银行、手机银行等渠道自助查询还款计划，请按时还款。【工商银行】,您申请编号为C0020020171740000223的融e借已发放到尾号7826卡中 放款金额为300000 00元 利息还款日为每月23日 如当月无该日期则以当月最后一日为还款日 本金还款日期为2018年6月23日 还款卡尾号为7826 您可通过我行网上银行 手机银行等渠道自助查询还款计划 请按时还款 ,您 申请 编号 为 C0020020171740000223 的 融 e 借 已 发放 到 尾号 7826 卡中   放款 金额 为 300000   00 元   利息 还款 日为 每月 23 日   如 当月 无该 日期 则 以 当月 最后 一日 为 还款 日   本金 还款 日期 为 2018 年 6 月 23 日   还款 卡 尾号 为 7826   您 可 通过 我行 网上银行   手机 银行 等 渠道 自助 查询 还款 计划   请 按时 还款  
OVERDUES,SUCCESS,OVERDUES,截至2017年1月1日您的尾号为1267的贷记卡透支296.81美元，逾期已超过60天。请您尽快还款，否则将影响您卡片的正常使用。对您未及时足额归还最低还款额而产生的逾期信息，我行按规定提供给国家金融信用信息基础数据库。如已还款，请忽略该信息。工银信用卡【工商银行】,截至2017年1月1日您的尾号为1267的贷记卡透支296 81美元 逾期已超过60天 请您尽快还款 否则将影响您卡片的正常使用 对您未及时足额归还最低还款额而产生的逾期信息 我行按规定提供给国家金融信用信息基础数据库 如已还款 请忽略该信息 工银信用卡,截至 2017 年 1 月 1 日 您 的 尾号 为 1267 的 贷记卡 透支 296   81 美元   逾期 已 超过 60 天   请 您 尽快 还款   否则 将 影响 您 卡片 的 正常 使用   对 您 未 及时 足额 归还 最低 还款额 而 产生 的 逾期 信息   我行 按规定 提供 给 国家 金融 信用 信息 基础 数据库   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至2017年1月1日您的尾号为1267的贷记卡透支296.81美元，账户已逾期。请您尽快还款，否则将影响您卡片的正常使用。对您未及时足额归还最低还款额而产生的逾期信息，我行按规定提供给国家金融信用信息基础数据库。如已还款，请忽略该信息。工银信用卡【工商银行】,截至2017年1月1日您的尾号为1267的贷记卡透支296 81美元 账户已逾期 请您尽快还款 否则将影响您卡片的正常使用 对您未及时足额归还最低还款额而产生的逾期信息 我行按规定提供给国家金融信用信息基础数据库 如已还款 请忽略该信息 工银信用卡,截至 2017 年 1 月 1 日 您 的 尾号 为 1267 的 贷记卡 透支 296   81 美元   账户 已 逾期   请 您 尽快 还款   否则 将 影响 您 卡片 的 正常 使用   对 您 未 及时 足额 归还 最低 还款额 而 产生 的 逾期 信息   我行 按规定 提供 给 国家 金融 信用 信息 基础 数据库   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至20160617您尾号为9601的贷记卡透支11132.82人民币，已严重逾期。前期我行对您进行过多次催收，现要求您立即还款，否则对于恶意透支，将依法追究刑事责任。如已还款，请忽略该信息。工银信用卡【工商银行】,截至20160617您尾号为9601的贷记卡透支11132 82人民币 已严重逾期 前期我行对您进行过多次催收 现要求您立即还款 否则对于恶意透支 将依法追究刑事责任 如已还款 请忽略该信息 工银信用卡,截至 20160617 您 尾号 为 9601 的 贷记卡 透支 11132   82 人民币   已 严重 逾期   前期 我行 对 您 进行 过 多次 催收   现 要求 您 立即 还款   否则 对于 恶意透支   将 依法追究 刑事责任   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至20160229您的尾号为9885的贷记卡透支1213.49人民币，账户已逾期。请您尽快还款，否则将停止您名下工行信用卡账户的使用,截至20160229您的尾号为9885的贷记卡透支1213 49人民币 账户已逾期 请您尽快还款 否则将停止您名下工行信用卡账户的使用,截至 20160229 您 的 尾号 为 9885 的 贷记卡 透支 1213   49 人民币   账户 已 逾期   请 您 尽快 还款   否则 将 停止 您 名下 工行 信用卡 账户 的 使用
OVERDUES,SUCCESS,OVERDUES,截至20160621您尾号为6462的贷记卡透支11.55人民币，逾期已超过30天。请您尽快还款，否则将影响您卡片的正常使用。您未及时足额归还最低还款额而产生的逾期信息，我行按规定提供给金融信用信息基础数据库。如已还款，请忽略该信息。工银信用卡【工商银行】,截至20160621您尾号为6462的贷记卡透支11 55人民币 逾期已超过30天 请您尽快还款 否则将影响您卡片的正常使用 您未及时足额归还最低还款额而产生的逾期信息 我行按规定提供给金融信用信息基础数据库 如已还款 请忽略该信息 工银信用卡,截至 20160621 您 尾号 为 6462 的 贷记卡 透支 11   55 人民币   逾期 已 超过 30 天   请 您 尽快 还款   否则 将 影响 您 卡片 的 正常 使用   您 未 及时 足额 归还 最低 还款额 而 产生 的 逾期 信息   我行 按规定 提供 给 金融 信用 信息 基础 数据库   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至09月24日您的尾号为8915的贷记卡透支54339.19元人民币，逾期已超过60天。请您务必尽快还款。工银信用卡【工商银行】,截至09月24日您的尾号为8915的贷记卡透支54339 19元人民币 逾期已超过60天 请您务必尽快还款 工银信用卡,截至 09 月 24 日 您 的 尾号 为 8915 的 贷记卡 透支 54339   19 元 人民币   逾期 已 超过 60 天   请 您 务必 尽快 还款   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,尊敬的客户柴刚先生：截止2017年1月15日止您尾号为8312的工银信用卡透支已违约超期，违约纪录将进入您在人民银行的（个人信用报告）即（个人信用档案），为尽快维护好您的个人信用纪录请您尽快到工行营业网点归还透支本息9887.83元，谢谢合作。详询,尊敬的客户柴刚先生 截止2017年1月15日止您尾号为8312的工银信用卡透支已违约超期 违约纪录将进入您在人民银行的 个人信用报告 即 个人信用档案 为尽快维护好您的个人信用纪录请您尽快到工行营业网点归还透支本息9887 83元 谢谢合作 详询,尊敬 的 客户 柴刚 先生   截止 2017 年 1 月 15 日止 您 尾号 为 8312 的 工银 信用卡 透支 已 违约 超期   违约 纪录 将 进入 您 在 人民银行 的   个人信用 报告   即   个人信用 档案   为 尽快 维护 好 您 的 个人信用 纪录 请 您 尽快 到 工行 营业网点 归还 透支 本息 9887   83 元   谢谢合作   详询
OVERDUES,SUCCESS,OVERDUES,尊敬的客户，您在工商银行办理的个人贷款（含住房公积金委托贷款）在2017年4月1日未能按期还款，为避免严重影响您个人信用记录，请您尽快向约定还款账户存入足额款项或到柜面进行还款。如您已还款，请忽略此短信。对您未及时足额还款而产生的逾期信息，我行已依法提供给人民银行金融信用信息基础数据库及其他依法设立的征信机构。若有疑问请咨询您办理业务时的贷款经办行或,尊敬的客户 您在工商银行办理的个人贷款 含住房公积金委托贷款 在2017年4月1日未能按期还款 为避免严重影响您个人信用记录 请您尽快向约定还款账户存入足额款项或到柜面进行还款 如您已还款 请忽略此短信 对您未及时足额还款而产生的逾期信息 我行已依法提供给人民银行金融信用信息基础数据库及其他依法设立的征信机构 若有疑问请咨询您办理业务时的贷款经办行或,尊敬 的 客户   您 在 工商银行 办理 的 个人 贷款   含 住房 公积金 委托 贷款   在 2017 年 4 月 1 日 未能 按期 还款   为 避免 严重 影响 您 个人信用 记录   请 您 尽快 向 约定 还款 账户 存入 足额 款项 或 到 柜面 进行 还款   如 您 已 还款   请 忽略 此 短信   对 您 未 及时 足额 还款 而 产生 的 逾期 信息   我行 已 依法 提供 给 人民银行 金融 信用 信息 基础 数据库 及其 他 依法 设立 的 征信 机构   若有 疑问请 咨询 您 办理 业务 时 的 贷款 经办 行 或
OVERDUES,SUCCESS,OVERDUES,截至2017年6月24日，您名下融e借贷款已经逾期2期，将影响您的信用记录，为了维护您的信用和避免不必要的经济损失，请您尽快还款。对您未及时还款产生的逾期信息，我行将按规定提供给金融信用信息基础数据库。具体欠款金额可通过工行网上银行、手机银行或营业网点查询。如已还款，请忽略该信息。工银信用卡【工商银行】,截至2017年6月24日 您名下融e借贷款已经逾期2期 将影响您的信用记录 为了维护您的信用和避免不必要的经济损失 请您尽快还款 对您未及时还款产生的逾期信息 我行将按规定提供给金融信用信息基础数据库 具体欠款金额可通过工行网上银行 手机银行或营业网点查询 如已还款 请忽略该信息 工银信用卡,截至 2017 年 6 月 24 日   您 名下 融 e 借 贷款 已经 逾期 2 期   将 影响 您 的 信用 记录   为了 维护 您 的 信用 和 避免 不必要 的 经济损失   请 您 尽快 还款   对 您 未 及时 还款 产生 的 逾期 信息   我行 将 按规定 提供 给 金融 信用 信息 基础 数据库   具体 欠款 金额 可 通过 工行 网上银行   手机 银行 或 营业网点 查询   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至2017年6月20日，您名下融e借贷款已经逾期1期，为了维护您的信用和避免不必要的经济损失，请您尽快还款。对您未及时还款产生的逾期信息，我行将按规定提供给金融信用信息基础数据库。具体欠款金额可通过工行网上银行、手机银行或营业网点查询。如已还款，请忽略该信息。工银信用卡【工商银行】,截至2017年6月20日 您名下融e借贷款已经逾期1期 为了维护您的信用和避免不必要的经济损失 请您尽快还款 对您未及时还款产生的逾期信息 我行将按规定提供给金融信用信息基础数据库 具体欠款金额可通过工行网上银行 手机银行或营业网点查询 如已还款 请忽略该信息 工银信用卡,截至 2017 年 6 月 20 日   您 名下 融 e 借 贷款 已经 逾期 1 期   为了 维护 您 的 信用 和 避免 不必要 的 经济损失   请 您 尽快 还款   对 您 未 及时 还款 产生 的 逾期 信息   我行 将 按规定 提供 给 金融 信用 信息 基础 数据库   具体 欠款 金额 可 通过 工行 网上银行   手机 银行 或 营业网点 查询   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,截至2017年4月25日，您名下融e借已经逾期1期，请您尽快还款。对您未及时还款产生的逾期信息，我行按规定提供给金融信用信息基础数据库。如已还款，请忽略该信息。工银信用卡【工商银行】,截至2017年4月25日 您名下融e借已经逾期1期 请您尽快还款 对您未及时还款产生的逾期信息 我行按规定提供给金融信用信息基础数据库 如已还款 请忽略该信息 工银信用卡,截至 2017 年 4 月 25 日   您 名下 融 e 借 已经 逾期 1 期   请 您 尽快 还款   对 您 未 及时 还款 产生 的 逾期 信息   我行 按规定 提供 给 金融 信用 信息 基础 数据库   如 已 还款   请 忽略 该 信息   工银 信用卡
OVERDUES,SUCCESS,OVERDUES,窦青先生您好。您在我行中国工商银行股份有限公司阳泉南大街支行办理的个人一手住房购置贷款，已经逾期19天，您的逾期贷款本息合计为1060.62元，请您尽快将足够的款项存入您贷款时约定的还款账户中。由于贷款逾期后每日会产生罚息，在存款时请您适当增加存款金额。【工商银行】,窦青先生您好 您在我行中国工商银行股份有限公司阳泉南大街支行办理的个人一手住房购置贷款 已经逾期19天 您的逾期贷款本息合计为1060 62元 请您尽快将足够的款项存入您贷款时约定的还款账户中 由于贷款逾期后每日会产生罚息 在存款时请您适当增加存款金额 ,窦青 先生 您好   您 在 我行 中国工商银行 股份 有限公司 阳泉 南大街 支行 办理 的 个人 一手 住房 购置 贷款   已经 逾期 19 天   您 的 逾期 贷款 本息 合计 为 1060   62 元   请 您 尽快 将 足够 的 款项 存入 您 贷款 时 约定 的 还款 账户 中   由于 贷款 逾期 后 每日 会 产生 罚息   在 存款 时请 您 适当 增加 存款 金额  
OVERDUES,SUCCESS,OVERDUES,个人贷款客户你好：您在工商银行的个人住房按揭贷款现已逾期形成不良，请收到本短信后立即清偿贷款本息。如逾期不还、不配合或有意躲避者，将通过人民银行征信系统对不良贷款的借款人实行“黑名单”制裁，并按照法律程序，限制其高消费行为，依法诉讼、强制执行。请珍惜个人信用记录，主动承担还款义务，尽快偿还不良贷款本息，避免给自己的声誉和经济带来损失。---工商银行【工商银行】,个人贷款客户你好 您在工商银行的个人住房按揭贷款现已逾期形成不良 请收到本短信后立即清偿贷款本息 如逾期不还 不配合或有意躲避者 将通过人民银行征信系统对不良贷款的借款人实行 黑名单 制裁 并按照法律程序 限制其高消费行为 依法诉讼 强制执行 请珍惜个人信用记录 主动承担还款义务 尽快偿还不良贷款本息 避免给自己的声誉和经济带来损失 工商银行,个人 贷款 客户 你好   您 在 工商银行 的 个人住房 按揭 贷款 现已 逾期 形成 不良   请 收到 本 短信 后 立即 清偿 贷款 本息   如 逾期 不 还   不 配合 或 有意 躲避 者   将 通过 人民银行 征信 系统对 不良贷款 的 借款人 实行   黑名单   制裁   并 按照 法律 程序   限制 其高 消费行为   依法 诉讼   强制执行   请 珍惜 个人信用 记录   主动 承担 还款 义务   尽快 偿还 不良贷款 本息   避免 给 自己 的 声誉 和 经济 带来 损失   工商银行
OVERDUES,SUCCESS,OVERDUES,尊敬的客户，您在工商银行办理的质押贷款（合同号：00003）已经逾期。我行已按协议约定对该合同关联的质押品定期存款进行逾期强卖，逾期强卖资金将按协议约定用于归还我行贷款。如有疑问请联系贷款服务行。【工商银行】,尊敬的客户 您在工商银行办理的质押贷款 合同号 00003 已经逾期 我行已按协议约定对该合同关联的质押品定期存款进行逾期强卖 逾期强卖资金将按协议约定用于归还我行贷款 如有疑问请联系贷款服务行 ,尊敬 的 客户   您 在 工商银行 办理 的 质押 贷款   合同 号   00003   已经 逾期   我行 已 按 协议 约定 对 该 合同 关联 的 质押 品 定期存款 进行 逾期 强卖   逾期 强卖 资金 将 按 协议 约定 用于 归还 我行 贷款   如 有 疑问请 联系 贷款 服务 行  
OVERDUES,SUCCESS,OVERDUES,（温馨提示）尊敬的张贵鹏客户：您在工行办理的个人贷款未能按期还款，为避免严重影响您个人信用记录，减轻您的逾期罚息负担，请您尽快向尾号为6357（扣款账号后4位）的账户存入12685元以上款项或到柜面进行还款。如您已还款，请忽略此短信。对您未及时足额还款而产生的逾期信息，我行已依法提供给人民银行及其他依法设立的征信机构。若有疑问请咨询您办理业务时的贷款经办行或, 温馨提示 尊敬的张贵鹏客户 您在工行办理的个人贷款未能按期还款 为避免严重影响您个人信用记录 减轻您的逾期罚息负担 请您尽快向尾号为6357 扣款账号后4位 的账户存入12685元以上款项或到柜面进行还款 如您已还款 请忽略此短信 对您未及时足额还款而产生的逾期信息 我行已依法提供给人民银行及其他依法设立的征信机构 若有疑问请咨询您办理业务时的贷款经办行或,  温馨 提示   尊敬 的 张贵鹏 客户   您 在 工行 办理 的 个人 贷款 未能 按期 还款   为 避免 严重 影响 您 个人信用 记录   减轻 您 的 逾期 罚息 负担   请 您 尽快 向 尾号 为 6357   扣款 账号 后 4 位   的 账户 存入 12685 元 以上 款项 或 到 柜面 进行 还款   如 您 已 还款   请 忽略 此 短信   对 您 未 及时 足额 还款 而 产生 的 逾期 信息   我行 已 依法 提供 给 人民银行 及其 他 依法 设立 的 征信 机构   若有 疑问请 咨询 您 办理 业务 时 的 贷款 经办 行 或
LOAN,SUCCESS,LOAN,您在工商银行珠海凤凰支行的个人文化消费贷款贷款已经于9月2日发放成功，首次还款日为10月5日，异地放款手续费25元提醒您注意。,您在工商银行珠海凤凰支行的个人文化消费贷款贷款已经于9月2日发放成功 首次还款日为10月5日 异地放款手续费25元提醒您注意 ,您 在 工商银行 珠海 凤凰 支行 的 个人 文化 消费 贷款 贷款 已经 于 9 月 2 日 发放 成功   首次 还款 日为 10 月 5 日   异地 放款 手续费 25 元 提醒您 注意  
LOAN,SUCCESS,LOAN,您在工商银行保定东风支行的个人二手住房购置贷款贷款已经于9月23日发放成功，首次还款日为10月23日，提醒您注意。,您在工商银行保定东风支行的个人二手住房购置贷款贷款已经于9月23日发放成功 首次还款日为10月23日 提醒您注意 ,您 在 工商银行 保定 东风 支行 的 个人 二手 住房 购置 贷款 贷款 已经 于 9 月 23 日 发放 成功   首次 还款 日为 10 月 23 日   提醒您 注意  
LOAN,SUCCESS,LOAN,您于2017年1月5日在我行宁波鄞州支行办理的个人一手住房购置贷款已于1月5日结清，您可联系贷款经办行办理贷款结清相关手续,您于2017年1月5日在我行宁波鄞州支行办理的个人一手住房购置贷款已于1月5日结清 您可联系贷款经办行办理贷款结清相关手续,您 于 2017 年 1 月 5 日 在 我行 宁波 鄞州 支行 办理 的 个人 一手 住房 购置 贷款 已于 1 月 5 日 结清   您 可 联系 贷款 经办 行 办理 贷款 结清 相关 手续
LOAN,SUCCESS,LOAN,您于2016年2月14日在我行大厂支行办理的个人一手住房购置贷款已于2月14日结清，您可联系贷款经办行办理贷款结清相关手续。【工商银行】,您于2016年2月14日在我行大厂支行办理的个人一手住房购置贷款已于2月14日结清 您可联系贷款经办行办理贷款结清相关手续 ,您 于 2016 年 2 月 14 日 在 我行 大厂 支行 办理 的 个人 一手 住房 购置 贷款 已于 2 月 14 日 结清   您 可 联系 贷款 经办 行 办理 贷款 结清 相关 手续  
LOAN,SUCCESS,LOAN,您申请编号为C0250220170990000169的融e借已发放到尾号4016卡中，放款金额为49000.00元。还款日为每月9日，如当月无该日期则以当月最后一日为还款日，还款卡尾号为4016。您可通过我行网上银行、手机银行等渠道自助查询还款计划，请按时还款。【工商银行】,您申请编号为C0250220170990000169的融e借已发放到尾号4016卡中 放款金额为49000 00元 还款日为每月9日 如当月无该日期则以当月最后一日为还款日 还款卡尾号为4016 您可通过我行网上银行 手机银行等渠道自助查询还款计划 请按时还款 ,您 申请 编号 为 C0250220170990000169 的 融 e 借 已 发放 到 尾号 4016 卡中   放款 金额 为 49000   00 元   还款 日为 每月 9 日   如 当月 无该 日期 则 以 当月 最后 一日 为 还款 日   还款 卡 尾号 为 4016   您 可 通过 我行 网上银行   手机 银行 等 渠道 自助 查询 还款 计划   请 按时 还款  
